성별,카테고리,소재,앵커역할,핏,code,상품명,현재가,할인,소매
남성,상의,shirt_casual,기반,slim,p00975170,코튼 슬림핏 셔츠,"₩79,900",,긴팔
남성,상의,shirt_casual,기반,regular,p07545938,레귤러핏 코튼 셔츠,"₩79,900",,긴팔
남성,상의,shirt_casual,기반,loose,p01063412,린넨-코튼 릴렉스핏 셔츠,"₩59,900",,긴팔
남성,상의,shirt_casual,기반,oversize,p07380101,릴렉스핏 텍스처 오버셔츠,"₩89,900",,긴팔
남성,상의,tee,기반,slim,p06019390,슬림핏 베이직 티셔츠,"₩35,900",,긴팔
남성,상의,tee,기반,regular,p05644402,스트럭처 레귤러핏 티셔츠,"₩49,900",,긴팔
남성,상의,knit,기반,loose,p04805311,릴렉스핏 니트 티셔츠,"₩79,900",,긴팔
남성,상의,tee,기반,oversize,p06224460,워싱 텍스트 박시핏 티셔츠,"₩45,900",,긴팔
남성,상의,knit,기반,regular,p06674437,레귤러핏 니트 셔츠,"₩79,900",,
남성,상의,sweat,파생,loose,p04393427,워시드 릴렉스핏 스웨트셔츠,"₩89,900",,긴팔
남성,상의,sweat,파생,oversize,p04374420,박시핏 스트럭처 스웨트셔츠,"₩55,900",,긴팔
남성,하의,denim,기반,slim,p00774454,슬림핏 베이직 진,"₩55,900",,
남성,하의,denim,기반,straight,p04365330,스트레이트 핏 청바지,"₩59,900",,
남성,하의,denim,기반,wide,p08062477,루즈핏 청바지,"₩79,900",,반팔
남성,하의,slacks,기반,slim,p04509909,슬림핏 수트 팬츠,"₩79,900",,
남성,하의,slacks,기반,straight,p04302300,스트레이트핏 루즈 팬츠,"₩26,900",-41%,
남성,하의,slacks,기반,wide,p00122402,릴렉스핏 코튼 팬츠,"₩35,900",-40%,
남성,하의,chino,기반,straight,p04514400,스트레이트핏 치노 팬츠,"₩89,900",,
남성,하의,chino,기반,wide,p06987450,릴렉스핏 치노 팬츠,"₩44,900",-50%,
여성,상의,shirt_casual,기반,slim,p03564082,스트라이프 슬림핏 셔츠,"₩21,900",-60%,긴팔
여성,상의,shirt_casual,기반,oversize,p02484268,오버사이즈 리본 셔츠,"₩27,900",-50%,긴팔
여성,상의,tee,기반,slim,p03431152,SUPIMA® 슬림핏 티셔츠,"₩7,900",-80%,긴팔
여성,상의,knit,기반,loose,p03471006,브이넥 루즈 니트 탑,"₩24,900",-50%,
여성,상의,tee,기반,oversize,p06050055,브라츠® 오버사이즈 티셔츠,"₩24,900",-50%,긴팔
여성,상의,knit,기반,oversize,p06427027,오버사이즈 니트 스웨터,"₩29,900",-50%,
여성,하의,denim,기반,slim,p04001045,ZW 컬렉션 로우라이즈 슬림 청바지,"₩35,900",-60%,
여성,하의,denim,기반,straight,p05359250,TRF 로우라이즈 스트레이트 진,"₩22,900",-50%,
여성,하의,denim,기반,tapered,p09632098,ZW 컬렉션 테이퍼드 하이웨이스트 청바지,"₩35,900",-60%,
여성,하의,denim,기반,wide,p08727221,TRF 배기 벌룬 포켓 진,"₩39,900",-50%,
여성,하의,slacks,기반,slim,p03003143,ZW COLLECTION LIMITED EDITION 슬림핏 울 팬츠,"₩59,900",-60%,
여성,하의,slacks,기반,straight,p00858036,코튼 스트레이트 팬츠,"₩22,900",-50%,
여성,하의,slacks,기반,wide,p05070156,소프트 와이드 팬츠,"₩21,900",-60%,긴팔
여성,하의,chino,기반,straight,p04387064,스트레이트 치노 팬츠,"₩22,900",-60%,
