성별,카테고리,항목,size,min,max,중간값,비고
남성,상의,가슴둘레,XS,80,84,82.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,상의,가슴둘레,S,88,92,90.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,상의,가슴둘레,M,96,100,98.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,상의,가슴둘레,L,104,108,106.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,상의,가슴둘레,XL,112,116,114.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,상의,가슴둘레,XXL,120,124,122.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,상의,허리,XS,68,72,70.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,상의,허리,S,76,80,78.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,상의,허리,M,84,88,86.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,상의,허리,L,92,96,94.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,상의,허리,XL,100,104,102.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,상의,허리,XXL,108,112,110.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,상의,목,XS,34.5,35.5,35.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,상의,목,S,37,38,37.5,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,상의,목,M,38.5,40,39.25,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,상의,목,L,40.5,42,41.25,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,상의,목,XL,43,44,43.5,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,상의,목,XXL,45,45.5,45.25,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,상의,팔길이,XS,62,62,62.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,상의,팔길이,S,62,63,62.5,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,상의,팔길이,M,64,64,64.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,상의,팔길이,L,64,65,64.5,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,상의,팔길이,XL,65,66,65.5,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,상의,팔길이,XXL,66,67,66.5,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,진,허리,XS,66,69,67.5,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,진,허리,S,71,76,73.5,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,진,허리,M,79,84,81.5,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,진,허리,L,86,91,88.5,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,진,허리,XL,97,102,99.5,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,진,허리,XXL,107,107,107.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,팬츠,허리,XS,72,72,72.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,팬츠,허리,S,76,77,76.5,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,팬츠,허리,M,84,88,86.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,팬츠,허리,L,92,96,94.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,팬츠,허리,XL,100,104,102.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,팬츠,허리,XXL,108,112,110.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,팬츠,엉덩이,XS,90,90,90.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,팬츠,엉덩이,S,93,96,94.5,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,팬츠,엉덩이,M,99,102,100.5,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,팬츠,엉덩이,L,105,108,106.5,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,팬츠,엉덩이,XL,111,114,112.5,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,팬츠,엉덩이,XXL,117,120,118.5,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,팬츠,인심,XS,81,81,81.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,팬츠,인심,S,81,81,81.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,팬츠,인심,M,82,83,82.5,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,팬츠,인심,L,84,84,84.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,팬츠,인심,XL,84,85,84.5,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
남성,팬츠,인심,XXL,86,86,86.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
여성,상의,가슴,XS,76,80,78.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
여성,상의,가슴,S,84,87.5,85.75,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
여성,상의,가슴,M,92,96,94.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
여성,상의,가슴,L,100.5,104,102.25,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
여성,상의,가슴,XL,110,115.5,112.75,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
여성,상의,허리,XS,59.5,64,61.75,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
여성,상의,허리,S,68,72.5,70.25,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
여성,상의,허리,M,76,80,78.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
여성,상의,허리,L,84,87.5,85.75,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
여성,상의,허리,XL,94,100.5,97.25,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
여성,진,허리,XXS,58,62,60.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
여성,진,허리,XS,61,63.5,62.25,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
여성,진,허리,S,66,71,68.5,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
여성,진,허리,M,73.5,78.5,76.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
여성,진,허리,L,81.5,86.5,84.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
여성,진,허리,XL,94,100.5,97.25,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
여성,진,엉덩이,XXS,82,86,84.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
여성,진,엉덩이,XS,84,87.5,85.75,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
여성,진,엉덩이,S,92,96,94.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
여성,진,엉덩이,M,100.5,104,102.25,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
여성,진,엉덩이,L,108,112,110.0,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
여성,진,엉덩이,XL,117,122,119.5,"H&M 공식 신체치수 가이드(둘레cm, 핏무관·카테고리당1표). 범위값·중간값=(min+max)/2. 출처 2차소스 교차확인, hm.com 직접검증 권장"
