"그룹","번호","뎁스","화면·기능","우선순위","세부 요소","비고"
"1. 사용자 앱","1","0","랜딩","★MVP","히어로(서비스 소개+진단 시작 CTA) / 상황별 전문가 리스트(모집·예고) / 작동 방식 3스텝 / 헤더 로그인·전문가 지원","전문가 0명 시 오픈예정·1기 모집"
"1. 사용자 앱","1.1","1","기본 정보 입력","★MVP","성별·나이 / 키·몸무게 / 선호핏(스키니·슬림·레귤러·루즈·오버)","진단 1단계"
"1. 사용자 앱","1.1.1","2","착용 경험 보정 입력","★MVP","입어본 옷[브랜드+핏+사이즈]x2~3벌 / 부위별 느낌(목·어깨·가슴·소매·배·총장)→큼·여유·딱맞음·불편 / [state]진행표시+이전단계 수정 / [state]옷 목록에 없음 대안","역산 정확도 핵심·이탈 방지"
"1. 사용자 앱","1.1.1.1","3","진단 로딩","★MVP","엔진 처리 대기(체형 역산+매칭)","LLM 호출 수 초"
"1. 사용자 앱","1.1.1.2","3","결과 카드","★MVP","1 체형 프로필(캐릭터) / 2 핏 인사이트 / 3 브랜드별 추천 사이즈 / [state]저신뢰→옷 더 추가 / [state]재진단·수정 / [state]저장→가입 유도","제품의 얼굴·전환 트리거1"
"1. 사용자 앱","1.1.1.3","3","피드백 수집","★MVP","실제 사이즈와 맞나 동의·비동의 / 안 사본 브랜드도 사보겠다 의향","킬 메트릭 65퍼센트 이상"
"1. 사용자 앱","1.1.1.4","3","결과→전문가 전환","★MVP","스타일까지 전문가에게 받기 CTA","무료→유료 퍼널 핵심"
"1. 사용자 앱","1.1.1.5","3","결과 공유","○선택","카드 이미지·링크 공유","바이럴 후크"
"1. 사용자 앱","1.1.1.6","3","공유 카드 뷰(수신자)","○선택","친구 결과 카드 미리보기 / 나도 진단하기 CTA→1.1 / [state]만료 링크→G.7","바이럴 루프"
"1. 사용자 앱","1.2","1","전문가 둘러보기(쇼퍼찾기)","★MVP","서비스 유형 탭 전체·온라인 스타일링·동행 쇼핑·이미지 컨설팅","전체 기본 선택"
"1. 사용자 앱","1.2.1","2","전문가 검색","★MVP","이름·키워드 검색 / [state]조회·삭제 시 전체",""
"1. 사용자 앱","1.2.2","2","상황 필터","★MVP","전체·소개팅·면접발표·결혼식 하객·여행·일상","전체 기본"
"1. 사용자 앱","1.2.3","2","정렬","★MVP","매칭도·평점·가격 낮은순·가격 높은순","매칭도순 기본"
"1. 사용자 앱","1.2.4","2","전문가 목록","★MVP","[state]0명·무결과→1기 모집·오픈 알림(페이크도어 재사용)","초기엔 늘 이 상태"
"1. 사용자 앱","1.2.4.1","3","전문가 카드","★MVP","대표이미지·매칭도·유형·이름·전문분야·태그·평점·가격·후기수","클릭 시 우측 프로필 모달"
"1. 사용자 앱","1.2.5","2","전문가 프로필","★MVP","서비스·가격·매칭도·이름·평점·후기수·소개글","기본 정보"
"1. 사용자 앱","1.2.5.1","3","전문 분야","★MVP","전문 분야 태그(포멀·세미정장·남성 등)",""
"1. 사용자 앱","1.2.5.2","3","포트폴리오","★MVP","결과 이미지 6개 / 전체 보기",""
"1. 사용자 앱","1.2.5.3","3","실제 후기","★MVP","최신순·없으면 안내",""
"1. 사용자 앱","1.2.5.4","3","서비스 정보","★MVP","서비스명·가격·방식(온·오프)·예상 기간",""
"1. 사용자 앱","1.2.5.5","3","요청하기","★MVP","전문가 정보 유지한 채 요청 화면 이동","→1.6.1"
"1. 사용자 앱","1.2.5.6","3","닫기","★MVP","X→목록 복귀",""
"1. 사용자 앱","1.3","1","AI 전문가 매칭(스타일링 요청)","★MVP","서비스 유형 온라인·동행·이미지 택1 필수",""
"1. 사용자 앱","1.3.1","2","상황 선택","★MVP","최대 2개·2개 시 나머지 비활성",""
"1. 사용자 앱","1.3.2","2","예산 선택","★MVP","5만 이하·5~10만·10~15만·15만 이상",""
"1. 사용자 앱","1.3.3","2","일정 입력","★MVP","캘린더(Date Picker)","지난 날짜 불가"
"1. 사용자 앱","1.3.4","2","한 줄 요청","★MVP","요청사항 입력","최대 100자"
"1. 사용자 앱","1.3.5","2","체형·사이즈 프로필 첨부","★MVP","토글·OFF 시 프로필 제외","기본 ON"
"1. 사용자 앱","1.3.6","2","전문가 매칭하기","★MVP","이 조건으로 매칭받기","필수 완료 시 활성화→추천 목록"
"1. 사용자 앱","1.3.7","2","매칭 결과(추천 목록)","◐MVP","추천 전문가 카드(매칭도순) / 선택→요청 보내기(1.6.1) / [state]0명→오픈 알림","매칭 직후 착지"
"1. 사용자 앱","1.4","1","마이페이지","◐MVP","",""
"1. 사용자 앱","1.4·A","2","프로필 기본정보","◐MVP","이름·닉네임·사진 / 신체정보(성별·나이·키·몸무게) / 선호 핏","편집 시 재진단 안내"
"1. 사용자 앱","1.4·B","2","내 진단 결과","★MVP","체형 프로필(캐릭터) / 브랜드별 추천 사이즈 / 재진단·공유·저장","진단 이력은 v2"
"1. 사용자 앱","1.4·C","2","코디 요청 내역","○v2","요청 목록+상태(대기·진행·완료) / 후기·평점 작성",""
