"화면·기능","번호","그룹","뎁스","우선순위","세부 요소","비고"
"랜딩","1","1. 사용자 앱","0","★MVP","히어로(서비스 소개+진단 시작 CTA) / 상황별 전문가 리스트(모집·예고) / 작동 방식 3스텝 / 헤더 로그인·전문가 지원","전문가 0명 시 오픈예정·1기 모집"
"기본 정보 입력","1.1","1. 사용자 앱","1","★MVP","성별·나이 / 키·몸무게 / 선호핏(스키니·슬림·레귤러·루즈·오버)","진단 1단계"
"착용 경험 보정 입력","1.1.1","1. 사용자 앱","2","★MVP","입어본 옷[브랜드+핏+사이즈]x2~3벌 / 부위별 느낌(목·어깨·가슴·소매·배·총장)→큼·여유·딱맞음·불편 / [state]진행표시+이전단계 수정 / [state]옷 목록에 없음 대안","역산 정확도 핵심·이탈 방지"
"진단 로딩","1.1.1.1","1. 사용자 앱","3","★MVP","엔진 처리 대기(체형 역산+매칭)","LLM 호출 수 초"
"결과 카드","1.1.1.2","1. 사용자 앱","3","★MVP","1 체형 프로필(캐릭터) / 2 핏 인사이트 / 3 브랜드별 추천 사이즈 / [state]저신뢰→옷 더 추가 / [state]재진단·수정 / [state]저장→가입 유도","제품의 얼굴·전환 트리거1"
"피드백 수집","1.1.1.3","1. 사용자 앱","3","★MVP","실제 사이즈와 맞나 동의·비동의 / 안 사본 브랜드도 사보겠다 의향","킬 메트릭 65퍼센트 이상"
"결과→전문가 전환","1.1.1.4","1. 사용자 앱","3","★MVP","스타일까지 전문가에게 받기 CTA","무료→유료 퍼널 핵심"
"결과 공유","1.1.1.5","1. 사용자 앱","3","○선택","카드 이미지·링크 공유","바이럴 후크"
"공유 카드 뷰(수신자)","1.1.1.6","1. 사용자 앱","3","○선택","친구 결과 카드 미리보기 / 나도 진단하기 CTA→1.1 / [state]만료 링크→G.7","바이럴 루프"
"전문가 둘러보기(쇼퍼찾기)","1.2","1. 사용자 앱","1","★MVP","서비스 유형 탭 전체·온라인 스타일링·동행 쇼핑·이미지 컨설팅","전체 기본 선택"
"전문가 검색","1.2.1","1. 사용자 앱","2","★MVP","이름·키워드 검색 / [state]조회·삭제 시 전체",""
"상황 필터","1.2.2","1. 사용자 앱","2","★MVP","전체·소개팅·면접발표·결혼식 하객·여행·일상","전체 기본"
"정렬","1.2.3","1. 사용자 앱","2","★MVP","매칭도·평점·가격 낮은순·가격 높은순","매칭도순 기본"
